"filename", "language", "Markdown", "Properties", "XML", "JavaScript", "JSON", "HTML", "JavaScript React", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\.idea\UniversalServiceBook.iml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\Web Projects\UniversalServiceBook\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\Web Projects\UniversalServiceBook\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Web Projects\UniversalServiceBook\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\Web Projects\UniversalServiceBook\client\.env", "Properties", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Web Projects\UniversalServiceBook\client\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Web Projects\UniversalServiceBook\client\package-lock.json", "JSON", 0, 0, 0, 0, 30481, 0, 0, 0, 1, 30482
"d:\Web Projects\UniversalServiceBook\client\package.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Web Projects\UniversalServiceBook\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 1, 31
"d:\Web Projects\UniversalServiceBook\client\src\App.js", "JavaScript", 0, 0, 0, 218, 0, 0, 0, 0, 17, 235
"d:\Web Projects\UniversalServiceBook\client\src\assets\back.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Web Projects\UniversalServiceBook\client\src\assets\mail.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\Web Projects\UniversalServiceBook\client\src\assets\serviceInformationIcon.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\client\src\components\Layout.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 47, 0, 6, 53
"d:\Web Projects\UniversalServiceBook\client\src\components\RequireAuth.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"d:\Web Projects\UniversalServiceBook\client\src\components\Roles.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\client\src\context\AuthProvider.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"d:\Web Projects\UniversalServiceBook\client\src\global\Footer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 92, 0, 13, 105
"d:\Web Projects\UniversalServiceBook\client\src\global\Header.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 190, 0, 33, 223
"d:\Web Projects\UniversalServiceBook\client\src\global\PageSelector.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 63, 11, 7, 81
"d:\Web Projects\UniversalServiceBook\client\src\global\Profile.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 185, 5, 17, 207
"d:\Web Projects\UniversalServiceBook\client\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Web Projects\UniversalServiceBook\client\src\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 5, 1, 17
"d:\Web Projects\UniversalServiceBook\client\src\lib\Skeletons.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 7, 39
"d:\Web Projects\UniversalServiceBook\client\src\pages\AdminPage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 17, 7, 8, 32
"d:\Web Projects\UniversalServiceBook\client\src\pages\EmailVerification.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 61, 7, 7, 75
"d:\Web Projects\UniversalServiceBook\client\src\pages\Error.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"d:\Web Projects\UniversalServiceBook\client\src\pages\Garage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 1290, 54, 135, 1479
"d:\Web Projects\UniversalServiceBook\client\src\pages\GarageVehiclePreview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 660, 3, 71, 734
"d:\Web Projects\UniversalServiceBook\client\src\pages\Home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 361, 12, 43, 416
"d:\Web Projects\UniversalServiceBook\client\src\pages\Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 108, 4, 17, 129
"d:\Web Projects\UniversalServiceBook\client\src\pages\MailPreview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 180, 1, 20, 201
