"filename", "language", "Markdown", "XML", "JavaScript", "JavaScript React", "JSON", "HTML", "Properties", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\.idea\UniversalServiceBook.iml", "XML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Web Projects\UniversalServiceBook\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Web Projects\UniversalServiceBook\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Web Projects\UniversalServiceBook\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"d:\Web Projects\UniversalServiceBook\client\.env", "Properties", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\Web Projects\UniversalServiceBook\client\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Web Projects\UniversalServiceBook\client\package-lock.json", "JSON", 0, 0, 0, 0, 30529, 0, 0, 0, 1, 30530
"d:\Web Projects\UniversalServiceBook\client\package.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\Web Projects\UniversalServiceBook\client\public\index.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"d:\Web Projects\UniversalServiceBook\client\src\App.js", "JavaScript", 0, 0, 228, 0, 0, 0, 0, 0, 16, 244
"d:\Web Projects\UniversalServiceBook\client\src\assets\back.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Web Projects\UniversalServiceBook\client\src\assets\mail.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Web Projects\UniversalServiceBook\client\src\assets\serviceInformationIcon.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\client\src\components\Layout.jsx", "JavaScript React", 0, 0, 0, 47, 0, 0, 0, 0, 6, 53
"d:\Web Projects\UniversalServiceBook\client\src\components\RequireAuth.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"d:\Web Projects\UniversalServiceBook\client\src\components\Roles.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\client\src\context\AuthProvider.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\Web Projects\UniversalServiceBook\client\src\global\Footer.jsx", "JavaScript React", 0, 0, 0, 92, 0, 0, 0, 0, 13, 105
"d:\Web Projects\UniversalServiceBook\client\src\global\Header.jsx", "JavaScript React", 0, 0, 0, 190, 0, 0, 0, 0, 33, 223
"d:\Web Projects\UniversalServiceBook\client\src\global\PageSelector.jsx", "JavaScript React", 0, 0, 0, 63, 0, 0, 0, 11, 7, 81
"d:\Web Projects\UniversalServiceBook\client\src\global\Profile.jsx", "JavaScript React", 0, 0, 0, 187, 0, 0, 0, 5, 17, 209
"d:\Web Projects\UniversalServiceBook\client\src\hooks\useAuth.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"d:\Web Projects\UniversalServiceBook\client\src\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 5, 1, 17
"d:\Web Projects\UniversalServiceBook\client\src\lib\Skeletons.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 7, 39
"d:\Web Projects\UniversalServiceBook\client\src\pages\AdminPage.jsx", "JavaScript React", 0, 0, 0, 382, 0, 0, 0, 11, 43, 436
"d:\Web Projects\UniversalServiceBook\client\src\pages\EmailVerification.jsx", "JavaScript React", 0, 0, 0, 61, 0, 0, 0, 7, 7, 75
"d:\Web Projects\UniversalServiceBook\client\src\pages\Error.jsx", "JavaScript React", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\Web Projects\UniversalServiceBook\client\src\pages\Garage.jsx", "JavaScript React", 0, 0, 0, 1319, 0, 0, 0, 55, 137, 1511
"d:\Web Projects\UniversalServiceBook\client\src\pages\GarageVehiclePreview.jsx", "JavaScript React", 0, 0, 0, 661, 0, 0, 0, 5, 77, 743
"d:\Web Projects\UniversalServiceBook\client\src\pages\Home.jsx", "JavaScript React", 0, 0, 0, 361, 0, 0, 0, 12, 43, 416
"d:\Web Projects\UniversalServiceBook\client\src\pages\Login.jsx", "JavaScript React", 0, 0, 0, 108, 0, 0, 0, 4, 17, 129
"d:\Web Projects\UniversalServiceBook\client\src\pages\MailPreview.jsx", "JavaScript React", 0, 0, 0, 180, 0, 0, 0, 1, 20, 201
"d:\Web Projects\UniversalServiceBook\client\src\pages\Mails.jsx", "JavaScript React", 0, 0, 0, 148, 0, 0, 0, 0, 18, 166
"d:\Web Projects\UniversalServiceBook\client\src\pages\MechanicWorkshop.jsx", "JavaScript React", 0, 0, 0, 337, 0, 0, 0, 7, 53, 397
"d:\Web Projects\UniversalServiceBook\client\src\pages\OwnerPage.jsx", "JavaScript React", 0, 0, 0, 236, 0, 0, 0, 4, 30, 270
"d:\Web Projects\UniversalServiceBook\client\src\pages\Registration.jsx", "JavaScript React", 0, 0, 0, 95, 0, 0, 0, 0, 12, 107
"d:\Web Projects\UniversalServiceBook\client\src\pages\Settings.jsx", "JavaScript React", 0, 0, 0, 218, 0, 0, 0, 137, 37, 392
"d:\Web Projects\UniversalServiceBook\client\src\pages\Unauthorized.jsx", "JavaScript React", 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\Web Projects\UniversalServiceBook\client\src\themes\theme.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 4, 3, 123
"d:\Web Projects\UniversalServiceBook\server\config\logger.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"d:\Web Projects\UniversalServiceBook\server\controllers\AuthController.js", "JavaScript", 0, 0, 164, 0, 0, 0, 0, 0, 12, 176
"d:\Web Projects\UniversalServiceBook\server\controllers\UserController.js", "JavaScript", 0, 0, 161, 0, 0, 0, 0, 0, 16, 177
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleController.js", "JavaScript", 0, 0, 371, 0, 0, 0, 0, 0, 39, 410
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleParameterController.js", "JavaScript", 0, 0, 301, 0, 0, 0, 0, 15, 23, 339
"d:\Web Projects\UniversalServiceBook\server\controllers\WorkshopController.js", "JavaScript", 0, 0, 431, 0, 0, 0, 0, 0, 35, 466
"d:\Web Projects\UniversalServiceBook\server\core\Auth.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
"d:\Web Projects\UniversalServiceBook\server\core\DatabaseInitialization.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"d:\Web Projects\UniversalServiceBook\server\core\FilesManagment.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 0, 15, 161
"d:\Web Projects\UniversalServiceBook\server\core\MailViews.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 4, 152
"d:\Web Projects\UniversalServiceBook\server\core\Mailer.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"d:\Web Projects\UniversalServiceBook\server\core\Role.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\server\models\DesignTypeModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\DriveTypeModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\FuelModel.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\Web Projects\UniversalServiceBook\server\models\ManufactureModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\ModelModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\PictureModel.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\Web Projects\UniversalServiceBook\server\models\ServiceEntryModel.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"d:\Web Projects\UniversalServiceBook\server\models\TransmissionModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Web Projects\UniversalServiceBook\server\models\UserModel.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 4, 75
"d:\Web Projects\UniversalServiceBook\server\models\ValidationSchema.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 0, 7, 84
"d:\Web Projects\UniversalServiceBook\server\models\VehicleModel.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 0, 4, 175
"d:\Web Projects\UniversalServiceBook\server\models\VehicleTypeModel.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"d:\Web Projects\UniversalServiceBook\server\models\WorkShopModel.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 5, 73
"d:\Web Projects\UniversalServiceBook\server\package-lock.json", "JSON", 0, 0, 0, 0, 4487, 0, 0, 0, 1, 4488
"d:\Web Projects\UniversalServiceBook\server\package.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\Web Projects\UniversalServiceBook\server\routes\routes.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 6, 11, 96
"d:\Web Projects\UniversalServiceBook\server\server.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"Total", "-", 10, 48, 3027, 4718, 35103, 35, 8, 291, 854, 44094
