"filename", "language", "JSON", "JavaScript", "JavaScript React", "HTML", "Properties", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\client\.env", "Properties", 0, 0, 0, 0, 1, 0, 0, 1
"d:\Web Projects\UniversalServiceBook\client\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"d:\Web Projects\UniversalServiceBook\client\public\index.html", "HTML", 0, 0, 0, 14, 0, 1, 1, 16
"d:\Web Projects\UniversalServiceBook\client\src\App.js", "JavaScript", 0, -5, 0, 0, 0, 0, 1, -4
"d:\Web Projects\UniversalServiceBook\client\src\components\InformationCard.component.jsx", "JavaScript React", 0, 0, 48, 0, 0, 0, 5, 53
"d:\Web Projects\UniversalServiceBook\client\src\components\Layout.component.jsx", "JavaScript React", 0, 0, 50, 0, 0, 0, 6, 56
"d:\Web Projects\UniversalServiceBook\client\src\components\Layout.jsx", "JavaScript React", 0, 0, -47, 0, 0, 0, -6, -53
"d:\Web Projects\UniversalServiceBook\client\src\components\RequireAuth.js", "JavaScript", 0, -18, 0, 0, 0, -1, -5, -24
"d:\Web Projects\UniversalServiceBook\client\src\components\Roles.js", "JavaScript", 0, -7, 0, 0, 0, 0, -1, -8
"d:\Web Projects\UniversalServiceBook\client\src\components\VehicleCard.component.jsx", "JavaScript React", 0, 0, 94, 0, 0, 0, 8, 102
"d:\Web Projects\UniversalServiceBook\client\src\context\RequireAuth.js", "JavaScript", 0, 33, 0, 0, 0, 9, 6, 48
"d:\Web Projects\UniversalServiceBook\client\src\global\Footer.jsx", "JavaScript React", 0, 0, -15, 0, 0, 0, -6, -21
"d:\Web Projects\UniversalServiceBook\client\src\global\Header.jsx", "JavaScript React", 0, 0, -40, 0, 0, 0, -18, -58
"d:\Web Projects\UniversalServiceBook\client\src\global\PageSelector.jsx", "JavaScript React", 0, 0, 2, 0, 0, 0, -1, 1
"d:\Web Projects\UniversalServiceBook\client\src\global\Profile.jsx", "JavaScript React", 0, 0, -14, 0, 0, -5, -4, -23
"d:\Web Projects\UniversalServiceBook\client\src\lib\GlobalConfigs.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"d:\Web Projects\UniversalServiceBook\client\src\lib\GlobalFunctions.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"d:\Web Projects\UniversalServiceBook\client\src\lib\GlobalIcons.js", "JavaScript", 0, 78, 0, 0, 0, 0, 1, 79
"d:\Web Projects\UniversalServiceBook\client\src\lib\GlobalImports.js", "JavaScript", 0, 111, 0, 0, 0, 0, 1, 112
"d:\Web Projects\UniversalServiceBook\client\src\lib\Roles.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"d:\Web Projects\UniversalServiceBook\client\src\lib\StyledComponents.js", "JavaScript", 0, 372, 0, 0, 0, 11, 54, 437
"d:\Web Projects\UniversalServiceBook\client\src\pages\AdminPage.jsx", "JavaScript React", 0, 0, -49, 0, 0, -2, -5, -56
