"filename", "language", "JavaScript", "HTML", "JavaScript React", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\client\public\index.html", "HTML", 0, 1, 0, -1, 0, 0
"d:\Web Projects\UniversalServiceBook\client\src\context\RequireAuth.js", "JavaScript", -15, 0, 0, 15, 0, 0
"d:\Web Projects\UniversalServiceBook\client\src\pages\Garage.jsx", "JavaScript React", 0, 0, 0, 1, 1, 2
"d:\Web Projects\UniversalServiceBook\client\src\pages\GarageVehiclePreview.jsx", "JavaScript React", 0, 0, 233, 129, 19, 381
"d:\Web Projects\UniversalServiceBook\server\controllers\AuthController.js", "JavaScript", 8, 0, 0, 0, 2, 10
"d:\Web Projects\UniversalServiceBook\server\controllers\UserController.js", "JavaScript", 41, 0, 0, 0, -1, 40
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleController.js", "JavaScript", 70, 0, 0, 0, 9, 79
"d:\Web Projects\UniversalServiceBook\server\core\DatabaseInitialization.js", "JavaScript", 3, 0, 0, 0, 0, 3
"d:\Web Projects\UniversalServiceBook\server\core\MailViews.js", "JavaScript", 147, 0, 0, 0, 7, 154
"d:\Web Projects\UniversalServiceBook\server\models\EmailConfirmationModel.js", "JavaScript", 33, 0, 0, 0, 2, 35
"d:\Web Projects\UniversalServiceBook\server\models\ValidationSchema.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Web Projects\UniversalServiceBook\server\models\VehicleModel.js", "JavaScript", 4, 0, 0, 0, -1, 3
"d:\Web Projects\UniversalServiceBook\server\routes\routes.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Web Projects\UniversalServiceBook\server\server.js", "JavaScript", 6, 0, 0, 0, 0, 6
"Total", "-", 299, 1, 233, 144, 38, 715
