"filename", "language", "JavaScript", "Properties", "JavaScript JSX", "JSON", "comment", "blank", "total"
"d:\Web Projects\UniversalServiceBook\client\.env", "Properties", 0, 1, 0, 0, 0, 0, 1
"d:\Web Projects\UniversalServiceBook\client\src\App.js", "JavaScript", -8, 0, 0, 0, 0, -1, -9
"d:\Web Projects\UniversalServiceBook\client\src\components\Layout.component.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 1, 41
"d:\Web Projects\UniversalServiceBook\client\src\config\MessageHandler.js", "JavaScript", 86, 0, 0, 0, 28, 21, 135
"d:\Web Projects\UniversalServiceBook\client\src\config\messages.json", "JSON", 0, 0, 0, 39, 0, 0, 39
"d:\Web Projects\UniversalServiceBook\client\src\context\AuthProvider.js", "JavaScript", 48, 0, 0, 0, 1, 3, 52
"d:\Web Projects\UniversalServiceBook\client\src\context\RequireAuth.js", "JavaScript", 3, 0, 0, 0, -23, 0, -20
"d:\Web Projects\UniversalServiceBook\client\src\global\Footer.jsx", "JavaScript JSX", 0, 0, -34, 0, 0, -1, -35
"d:\Web Projects\UniversalServiceBook\client\src\global\Header.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 1, 5
"d:\Web Projects\UniversalServiceBook\client\src\global\PageSelector.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 2
"d:\Web Projects\UniversalServiceBook\client\src\lib\GlobalIcons.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"d:\Web Projects\UniversalServiceBook\client\src\lib\StyledComponents.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"d:\Web Projects\UniversalServiceBook\client\src\pages\AdminPage.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 1, 23
"d:\Web Projects\UniversalServiceBook\client\src\pages\EmailVerification.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 2, 14
"d:\Web Projects\UniversalServiceBook\client\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 7, 75
"d:\Web Projects\UniversalServiceBook\client\src\pages\Garage.jsx", "JavaScript JSX", 0, 0, 82, 0, -3, 1, 80
"d:\Web Projects\UniversalServiceBook\client\src\pages\GarageVehiclePreview.jsx", "JavaScript JSX", 0, 0, 52, 0, -1, 5, 56
"d:\Web Projects\UniversalServiceBook\client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 3, 52
"d:\Web Projects\UniversalServiceBook\client\src\pages\MechanicWorkshop.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 1, 30
"d:\Web Projects\UniversalServiceBook\client\src\pages\NewPassword.jsx", "JavaScript JSX", 0, 0, 94, 0, 0, 7, 101
"d:\Web Projects\UniversalServiceBook\client\src\pages\OwnerPage.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 2, 10
"d:\Web Projects\UniversalServiceBook\client\src\pages\Registration.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 6, 54
"d:\Web Projects\UniversalServiceBook\client\src\pages\Settings.jsx", "JavaScript JSX", 0, 0, 23, 0, 11, 1, 35
"d:\Web Projects\UniversalServiceBook\client\src\themes\theme.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"d:\Web Projects\UniversalServiceBook\server\controllers\AuthController.js", "JavaScript", 17, 0, 0, 0, 0, 1, 18
"d:\Web Projects\UniversalServiceBook\server\controllers\VehicleController.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"d:\Web Projects\UniversalServiceBook\server\models\EmailConfirmationModel.js", "JavaScript", -1, 0, 0, 0, 0, 0, -1
"d:\Web Projects\UniversalServiceBook\server\models\VehicleModel.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"d:\Web Projects\UniversalServiceBook\server\routes\routes.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 162, 1, 499, 39, 13, 62, 776
